pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
Anda memenangkan iPhone terbaru! Unduh form klaim di shorturl.at/hadiah dan isi data untuk pengiriman.,Malware,Berisiko,anda memenangkan iphone terbaru! unduh form klaim di shorturl.at/hadiah dan isi data untuk pengiriman.,"['anda', 'memenangkan', 'iphone', 'terbaru', 'unduh', 'form', 'klaim', 'di', 'URL_CURIGA', 'dan', 'isi', 'data', 'untuk', 'pengiriman']","['memenangkan', 'iphone', 'terbaru', 'unduh', 'form', 'klaim', 'URL_CURIGA', 'isi', 'data', 'pengiriman']","['menang', 'iphone', 'baru', 'unduh', 'form', 'klaim', 'URL_CURIGA', 'isi', 'data', 'kirim']",menang iphone baru unduh form klaim URL_CURIGA isi data kirim
Unduh aplikasi Shopee mod premium gratis. Nikmati semua fitur tanpa bayar di rb.gy/update-bri.,Malware,Berisiko,unduh aplikasi shopee mod premium gratis. nikmati semua fitur tanpa bayar di rb.gy/update-bri.,"['unduh', 'aplikasi', 'shopee', 'mod', 'premium', 'gratis', 'nikmati', 'semua', 'fitur', 'tanpa', 'bayar', 'di', 'URL_CURIGA']","['unduh', 'aplikasi', 'shopee', 'mod', 'premium', 'gratis', 'nikmati', 'semua', 'fitur', 'bayar', 'URL_CURIGA']","['unduh', 'aplikasi', 'shopee', 'mod', 'premium', 'gratis', 'nikmat', 'semua', 'fitur', 'bayar', 'URL_CURIGA']",unduh aplikasi shopee mod premium gratis nikmat semua fitur bayar URL_CURIGA
dasar habisi,Kata Kasar & Ancaman,Berisiko,dasar habisi,"['dasar', 'habisi']","['dasar', 'habisi']","['dasar', 'habisi']",dasar habisi
Kamu mau ikut reuni angkatan bulan depan gak?,Percakapan Biasa,Tidak Berisiko,kamu mau ikut reuni angkatan bulan depan gak?,"['kamu', 'mau', 'ikut', 'reuni', 'angkatan', 'bulan', 'depan', 'gak']","['mau', 'ikut', 'reuni', 'angkatan', 'bulan', 'depan']","['mau', 'ikut', 'reuni', 'angkat', 'bulan', 'depan']",mau ikut reuni angkat bulan depan
beneran deh sundal lo itu tai,Kata Kasar & Ancaman,Berisiko,beneran deh sundal lo itu tai,"['beneran', 'deh', 'sundal', 'lo', 'itu', 'tai']","['beneran', 'sundal', 'lo', 'tai']","['beneran', 'sundal', 'lo', 'tai']",beneran sundal lo tai
hei hajar,Kata Kasar & Ancaman,Berisiko,hei hajar,"['hei', 'hajar']","['hei', 'hajar']","['hei', 'hajar']",hei hajar
muka kon lo,Kata Kasar & Ancaman,Berisiko,muka kon lo,"['muka', 'kon', 'lo']","['muka', 'kon', 'lo']","['muka', 'kon', 'lo']",muka kon lo
"Gas rumah sakit yuk, nengokin Pak Hendra yang baru operasi.",Percakapan Biasa,Tidak Berisiko,"gas rumah sakit yuk, nengokin pak hendra yang baru operasi.","['gas', 'rumah', 'sakit', 'yuk', 'nengokin', 'pak', 'hendra', 'yang', 'baru', 'operasi']","['gas', 'rumah', 'sakit', 'yuk', 'nengokin', 'pak', 'hendra', 'baru', 'operasi']","['gas', 'rumah', 'sakit', 'yuk', 'nengokin', 'pak', 'hendra', 'baru', 'operasi']",gas rumah sakit yuk nengokin pak hendra baru operasi
BCA resmi: Anda mendapat reward Rp39 juta. Tukarkan di bit.ly/verif-akun sebelum hangus.,Phishing,Berisiko,bca resmi: anda mendapat reward rp39 juta. tukarkan di bit.ly/verif-akun sebelum hangus.,"['bca', 'resmi', 'anda', 'mendapat', 'reward', 'NOMINAL_UANG', 'tukarkan', 'di', 'URL_CURIGA', 'sebelum', 'hangus']","['bca', 'resmi', 'mendapat', 'reward', 'NOMINAL_UANG', 'tukarkan', 'URL_CURIGA', 'hangus']","['bca', 'resmi', 'dapat', 'reward', 'NOMINAL_UANG', 'tukar', 'URL_CURIGA', 'hangus']",bca resmi dapat reward NOMINAL_UANG tukar URL_CURIGA hangus
Transfer berhasil. Rp50.000 telah dikirim ke rekening BRI atas nama Doni.,Transaksi Aman,Tidak Berisiko,transfer berhasil. rp50.000 telah dikirim ke rekening bri atas nama doni.,"['transfer', 'berhasil', 'NOMINAL_UANGtelah', 'dikirim', 'ke', 'rekening', 'bri', 'atas', 'nama', 'doni']","['transfer', 'berhasil', 'NOMINAL_UANGtelah', 'dikirim', 'rekening', 'bri', 'atas', 'nama', 'doni']","['transfer', 'hasil', 'nominal uangtelah', 'kirim', 'rekening', 'bri', 'atas', 'nama', 'doni']",transfer hasil nominal uangtelah kirim rekening bri atas nama doni
Pembayaran tagihan listrik Rp43.000 berhasil pada 1 Oktober 2024. No. referensi: TRX2024001.,Transaksi Aman,Tidak Berisiko,pembayaran tagihan listrik rp43.000 berhasil pada 1 oktober 2024. no. referensi: trx2024001.,"['pembayaran', 'tagihan', 'listrik', 'NOMINAL_UANGberhasil', 'pada', 'oktober', 'no', 'referensi', 'trx']","['pembayaran', 'tagihan', 'listrik', 'NOMINAL_UANGberhasil', 'oktober', 'no', 'referensi', 'trx']","['bayar', 'tagih', 'listrik', 'nominal uangberhasil', 'oktober', 'no', 'referensi', 'trx']",bayar tagih listrik nominal uangberhasil oktober no referensi trx
"Halo, ini dr. Rina dari puskesmas. Hasil cek darah ibu sudah keluar, bisa ke sini besok?",Informasi Umum,Tidak Berisiko,"halo, ini dr. rina dari puskesmas. hasil cek darah ibu sudah keluar, bisa ke sini besok?","['halo', 'ini', 'dr', 'rina', 'dari', 'puskesmas', 'hasil', 'cek', 'darah', 'ibu', 'sudah', 'keluar', 'bisa', 'ke', 'sini', 'besok']","['halo', 'dr', 'rina', 'puskesmas', 'hasil', 'cek', 'darah', 'ibu', 'keluar', 'sini', 'besok']","['halo', 'dr', 'rina', 'puskesmas', 'hasil', 'cek', 'darah', 'ibu', 'keluar', 'sini', 'besok']",halo dr rina puskesmas hasil cek darah ibu keluar sini besok
Unduh aplikasi Blibli mod premium gratis. Nikmati semua fitur tanpa bayar di shorturl.at/hadiah.,Malware,Berisiko,unduh aplikasi blibli mod premium gratis. nikmati semua fitur tanpa bayar di shorturl.at/hadiah.,"['unduh', 'aplikasi', 'blibli', 'mod', 'premium', 'gratis', 'nikmati', 'semua', 'fitur', 'tanpa', 'bayar', 'di', 'URL_CURIGA']","['unduh', 'aplikasi', 'blibli', 'mod', 'premium', 'gratis', 'nikmati', 'semua', 'fitur', 'bayar', 'URL_CURIGA']","['unduh', 'aplikasi', 'blibli', 'mod', 'premium', 'gratis', 'nikmat', 'semua', 'fitur', 'bayar', 'URL_CURIGA']",unduh aplikasi blibli mod premium gratis nikmat semua fitur bayar URL_CURIGA
bosen gue sama tingkah ngentot lo bodoh banget,Kata Kasar & Ancaman,Berisiko,bosen gue sama tingkah ngentot lo bodoh banget,"['bosen', 'gue', 'sama', 'tingkah', 'ngentot', 'lo', 'bodoh', 'banget']","['bosen', 'gue', 'sama', 'tingkah', 'ngentot', 'lo', 'bodoh', 'banget']","['bosen', 'gue', 'sama', 'tingkah', 'ngentot', 'lo', 'bodoh', 'banget']",bosen gue sama tingkah ngentot lo bodoh banget
Layanan CIMB Anda akan berakhir. Perpanjang sekarang di rb.gy/login-secure agar tidak terputus.,Phishing,Berisiko,layanan cimb anda akan berakhir. perpanjang sekarang di rb.gy/login-secure agar tidak terputus.,"['layanan', 'cimb', 'anda', 'akan', 'berakhir', 'perpanjang', 'sekarang', 'di', 'URL_CURIGA', 'agar', 'tidak', 'terputus']","['layanan', 'cimb', 'berakhir', 'perpanjang', 'sekarang', 'URL_CURIGA', 'terputus']","['layan', 'cimb', 'akhir', 'panjang', 'sekarang', 'URL_CURIGA', 'putus']",layan cimb akhir panjang sekarang URL_CURIGA putus
Part time online gaji Rp39.000/jam. Kerja 2-3 jam/hari. Daftar di cutt.ly/cek-saldo.,Penipuan,Berisiko,part time online gaji rp39.000/jam. kerja 2-3 jam/hari. daftar di cutt.ly/cek-saldo.,"['part', 'time', 'online', 'gaji', 'NOMINAL_UANG', 'jam', 'kerja', 'jam', 'hari', 'daftar', 'di', 'URL_CURIGA']","['part', 'time', 'online', 'gaji', 'NOMINAL_UANG', 'jam', 'kerja', 'jam', 'hari', 'daftar', 'URL_CURIGA']","['part', 'time', 'online', 'gaji', 'NOMINAL_UANG', 'jam', 'kerja', 'jam', 'hari', 'daftar', 'URL_CURIGA']",part time online gaji NOMINAL_UANG jam kerja jam hari daftar URL_CURIGA
Info penting: Akun WhatsApp kamu mungkin bisa diretas kalau klik link sembarangan. Stay safe!,Informasi Umum,Tidak Berisiko,info penting: akun whatsapp kamu mungkin bisa diretas kalau klik link sembarangan. stay safe!,"['info', 'penting', 'akun', 'whatsapp', 'kamu', 'mungkin', 'bisa', 'diretas', 'kalau', 'klik', 'link', 'sembarangan', 'stay', 'safe']","['info', 'penting', 'akun', 'whatsapp', 'mungkin', 'diretas', 'kalau', 'klik', 'link', 'sembarangan', 'stay', 'safe']","['info', 'penting', 'akun', 'whatsapp', 'mungkin', 'retas', 'kalau', 'klik', 'link', 'sembarang', 'stay', 'safe']",info penting akun whatsapp mungkin retas kalau klik link sembarang stay safe
Ini kurir Anteraja. Paket kamu sudah 3 hari tidak diambil. Konfirmasi ulang alamat di: antr-id.com,Phishing,Berisiko,ini kurir anteraja. paket kamu sudah 3 hari tidak diambil. konfirmasi ulang alamat di: antr-id.com,"['ini', 'kurir', 'anteraja', 'paket', 'kamu', 'sudah', 'hari', 'tidak', 'diambil', 'konfirmasi', 'ulang', 'alamat', 'di', 'antr', 'id', 'com']","['kurir', 'anteraja', 'paket', 'hari', 'diambil', 'konfirmasi', 'ulang', 'alamat', 'antr', 'id', 'com']","['kurir', 'anteraja', 'paket', 'hari', 'ambil', 'konfirmasi', 'ulang', 'alamat', 'antr', 'id', 'com']",kurir anteraja paket hari ambil konfirmasi ulang alamat antr id com
Penerimaan CPNS dibuka bulan depan. Info lengkap di portal resmi BKN.,Informasi Umum,Tidak Berisiko,penerimaan cpns dibuka bulan depan. info lengkap di portal resmi bkn.,"['penerimaan', 'cpns', 'dibuka', 'bulan', 'depan', 'info', 'lengkap', 'di', 'portal', 'resmi', 'bkn']","['penerimaan', 'cpns', 'dibuka', 'bulan', 'depan', 'info', 'lengkap', 'portal', 'resmi', 'bkn']","['terima', 'cpns', 'buka', 'bulan', 'depan', 'info', 'lengkap', 'portal', 'resmi', 'bkn']",terima cpns buka bulan depan info lengkap portal resmi bkn
"Deadline laporan besok jam 9 pagi ya, jangan lupa!",Jadwal & Kegiatan,Tidak Berisiko,"deadline laporan besok jam 9 pagi ya, jangan lupa!","['deadline', 'laporan', 'besok', 'jam', 'pagi', 'ya', 'jangan', 'lupa']","['deadline', 'laporan', 'besok', 'jam', 'pagi', 'jangan', 'lupa']","['deadline', 'lapor', 'besok', 'jam', 'pagi', 'jangan', 'lupa']",deadline lapor besok jam pagi jangan lupa
lo lonte,Kata Kasar & Ancaman,Berisiko,lo lonte,"['lo', 'lonte']","['lo', 'lonte']","['lo', 'lonte']",lo lonte
Promo terbatas: Dapat uang Rp200rb hanya dengan like dan share postingan ini. Daftar: like-duit.id,Penipuan,Berisiko,promo terbatas: dapat uang rp200rb hanya dengan like dan share postingan ini. daftar: like-duit.id,"['promo', 'terbatas', 'dapat', 'uang', 'NOMINAL_UANG', 'hanya', 'dengan', 'like', 'dan', 'share', 'postingan', 'ini', 'daftar', 'like', 'duit', 'id']","['promo', 'terbatas', 'uang', 'NOMINAL_UANG', 'like', 'share', 'postingan', 'daftar', 'like', 'duit', 'id']","['promo', 'batas', 'uang', 'NOMINAL_UANG', 'like', 'share', 'postingan', 'daftar', 'like', 'duit', 'id']",promo batas uang NOMINAL_UANG like share postingan daftar like duit id
"Tadi nemu dompet di parkiran, sudah aku serahin ke satpam ya.",Percakapan Biasa,Tidak Berisiko,"tadi nemu dompet di parkiran, sudah aku serahin ke satpam ya.","['tadi', 'nemu', 'dompet', 'di', 'parkiran', 'sudah', 'aku', 'serahin', 'ke', 'satpam', 'ya']","['tadi', 'nemu', 'dompet', 'parkiran', 'aku', 'serahin', 'satpam']","['tadi', 'nemu', 'dompet', 'parkir', 'aku', 'serahin', 'satpam']",tadi nemu dompet parkir aku serahin satpam
Donasi Rp44.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko,donasi rp44.000 anda berhasil disalurkan. terima kasih atas kepedulian anda.,"['donasi', 'NOMINAL_UANGanda', 'berhasil', 'disalurkan', 'terima', 'kasih', 'atas', 'kepedulian', 'anda']","['donasi', 'NOMINAL_UANGanda', 'berhasil', 'disalurkan', 'terima', 'kasih', 'atas', 'kepedulian']","['donasi', 'nominal uanganda', 'hasil', 'salur', 'terima', 'kasih', 'atas', 'peduli']",donasi nominal uanganda hasil salur terima kasih atas peduli
Top up GoPay Rp30.000 berhasil. Saldo GoPay Anda: Rp1600.000.,Transaksi Aman,Tidak Berisiko,top up gopay rp30.000 berhasil. saldo gopay anda: rp1600.000.,"['top', 'up', 'gopay', 'NOMINAL_UANGberhasil', 'saldo', 'gopay', 'anda', 'NOMINAL_UANG']","['top', 'up', 'gopay', 'NOMINAL_UANGberhasil', 'saldo', 'gopay', 'NOMINAL_UANG']","['top', 'up', 'gopay', 'nominal uangberhasil', 'saldo', 'gopay', 'NOMINAL_UANG']",top up gopay nominal uangberhasil saldo gopay NOMINAL_UANG
Lomba memasak RT akan dilaksanakan Minggu tanggal 3 November jam 9 pagi.,Jadwal & Kegiatan,Tidak Berisiko,lomba memasak rt akan dilaksanakan minggu tanggal 3 november jam 9 pagi.,"['lomba', 'memasak', 'rt', 'akan', 'dilaksanakan', 'minggu', 'tanggal', 'november', 'jam', 'pagi']","['lomba', 'memasak', 'rt', 'dilaksanakan', 'minggu', 'tanggal', 'november', 'jam', 'pagi']","['lomba', 'masak', 'rt', 'laksana', 'minggu', 'tanggal', 'november', 'jam', 'pagi']",lomba masak rt laksana minggu tanggal november jam pagi
sudah tau diri tai,Kata Kasar & Ancaman,Berisiko,sudah tau diri tai,"['sudah', 'tau', 'diri', 'tai']","['tau', 'diri', 'tai']","['tau', 'diri', 'tai']",tau diri tai
udah diem masturbasi,Kata Kasar & Ancaman,Berisiko,udah diem masturbasi,"['udah', 'diem', 'masturbasi']","['udah', 'diem', 'masturbasi']","['udah', 'diem', 'masturbasi']",udah diem masturbasi
hei taik,Kata Kasar & Ancaman,Berisiko,hei taik,"['hei', 'taik']","['hei', 'taik']","['hei', 'taik']",hei taik
Admin marketplace menghubungi Anda terkait komplain pembeli. Respon segera di 0877-3333-5678.,Social Engineering,Berisiko,admin marketplace menghubungi anda terkait komplain pembeli. respon segera di 0877-3333-5678.,"['admin', 'marketplace', 'menghubungi', 'anda', 'terkait', 'komplain', 'pembeli', 'respon', 'segera', 'di', 'NOMOR_HP_ASING']","['admin', 'marketplace', 'menghubungi', 'terkait', 'komplain', 'pembeli', 'respon', 'segera', 'NOMOR_HP_ASING']","['admin', 'marketplace', 'hubung', 'kait', 'komplain', 'beli', 'respon', 'segera', 'NOMOR_HP_ASING']",admin marketplace hubung kait komplain beli respon segera NOMOR_HP_ASING
otak cuk ngomong sembarangan,Kata Kasar & Ancaman,Berisiko,otak cuk ngomong sembarangan,"['otak', 'cuk', 'ngomong', 'sembarangan']","['otak', 'cuk', 'ngomong', 'sembarangan']","['otak', 'cuk', 'ngomong', 'sembarang']",otak cuk ngomong sembarang
Permata resmi: Anda mendapat reward Rp17 juta. Tukarkan di cutt.ly/cek-saldo sebelum hangus.,Phishing,Berisiko,permata resmi: anda mendapat reward rp17 juta. tukarkan di cutt.ly/cek-saldo sebelum hangus.,"['permata', 'resmi', 'anda', 'mendapat', 'reward', 'NOMINAL_UANG', 'tukarkan', 'di', 'URL_CURIGA', 'sebelum', 'hangus']","['permata', 'resmi', 'mendapat', 'reward', 'NOMINAL_UANG', 'tukarkan', 'URL_CURIGA', 'hangus']","['permata', 'resmi', 'dapat', 'reward', 'NOMINAL_UANG', 'tukar', 'URL_CURIGA', 'hangus']",permata resmi dapat reward NOMINAL_UANG tukar URL_CURIGA hangus
"Halo, ini kurir Ninja Express. Paket Rp19 COD Anda akan dikirim. Konfirmasi alamat via 0812-9999-1234.",Social Engineering,Berisiko,"halo, ini kurir ninja express. paket rp19 cod anda akan dikirim. konfirmasi alamat via 0812-9999-1234.","['halo', 'ini', 'kurir', 'ninja', 'express', 'paket', 'NOMINAL_UANGcod', 'anda', 'akan', 'dikirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']","['halo', 'kurir', 'ninja', 'express', 'paket', 'NOMINAL_UANGcod', 'dikirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']","['halo', 'kurir', 'ninja', 'express', 'paket', 'nominal uangcod', 'kirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']",halo kurir ninja express paket nominal uangcod kirim konfirmasi alamat via NOMOR_HP_ASING
jangan sampe ketemu cekik lo nanti,Kata Kasar & Ancaman,Berisiko,jangan sampe ketemu cekik lo nanti,"['jangan', 'sampe', 'ketemu', 'cekik', 'lo', 'nanti']","['jangan', 'sampe', 'ketemu', 'cekik', 'lo']","['jangan', 'sampe', 'ketemu', 'cekik', 'lo']",jangan sampe ketemu cekik lo
kamu dungu banget sih semprot,Kata Kasar & Ancaman,Berisiko,kamu dungu banget sih semprot,"['kamu', 'dungu', 'banget', 'sih', 'semprot']","['dungu', 'banget', 'semprot']","['dungu', 'banget', 'semprot']",dungu banget semprot
PENTING: Sistem keamanan BRI mendeteksi login tidak dikenal. Konfirmasi identitas Anda di shorturl.at/hadiah.,Phishing,Berisiko,penting: sistem keamanan bri mendeteksi login tidak dikenal. konfirmasi identitas anda di shorturl.at/hadiah.,"['penting', 'sistem', 'keamanan', 'bri', 'mendeteksi', 'login', 'tidak', 'dikenal', 'konfirmasi', 'identitas', 'anda', 'di', 'URL_CURIGA']","['penting', 'sistem', 'keamanan', 'bri', 'mendeteksi', 'login', 'dikenal', 'konfirmasi', 'identitas', 'URL_CURIGA']","['penting', 'sistem', 'aman', 'bri', 'deteksi', 'login', 'kenal', 'konfirmasi', 'identitas', 'URL_CURIGA']",penting sistem aman bri deteksi login kenal konfirmasi identitas URL_CURIGA
diem atau gue dasar cina,Kata Kasar & Ancaman,Berisiko,diem atau gue dasar cina,"['diem', 'atau', 'gue', 'dasar', 'cina']","['diem', 'gue', 'dasar', 'cina']","['diem', 'gue', 'dasar', 'cina']",diem gue dasar cina
Transfer patungan kado untuk Reza sudah masuk ya. Makasih!,Transaksi Aman,Tidak Berisiko,transfer patungan kado untuk reza sudah masuk ya. makasih!,"['transfer', 'patungan', 'kado', 'untuk', 'reza', 'sudah', 'masuk', 'ya', 'makasih']","['transfer', 'patungan', 'kado', 'reza', 'masuk', 'makasih']","['transfer', 'patungan', 'kado', 'reza', 'masuk', 'makasih']",transfer patungan kado reza masuk makasih
Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 082233445566 dalam 24 jam.,Social Engineering,Berisiko,tim bukalapak: akun seller anda dilaporkan fraud. verifikasi identitas ke 082233445566 dalam 24 jam.,"['tim', 'bukalapak', 'akun', 'seller', 'anda', 'dilaporkan', 'fraud', 'verifikasi', 'identitas', 'ke', 'NOMOR_HP_ASING', 'dalam', 'jam']","['tim', 'bukalapak', 'akun', 'seller', 'dilaporkan', 'fraud', 'verifikasi', 'identitas', 'NOMOR_HP_ASING', 'jam']","['tim', 'bukalapak', 'akun', 'seller', 'lapor', 'fraud', 'verifikasi', 'identitas', 'NOMOR_HP_ASING', 'jam']",tim bukalapak akun seller lapor fraud verifikasi identitas NOMOR_HP_ASING jam
Pertemuan orang tua dan guru: Sabtu 5 Desember 2024 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko,pertemuan orang tua dan guru: sabtu 5 desember 2024 pukul 09.00 di aula sekolah.,"['pertemuan', 'orang', 'tua', 'dan', 'guru', 'sabtu', 'desember', 'pukul', 'di', 'aula', 'sekolah']","['pertemuan', 'orang', 'tua', 'guru', 'sabtu', 'desember', 'pukul', 'aula', 'sekolah']","['temu', 'orang', 'tua', 'guru', 'sabtu', 'desember', 'pukul', 'aula', 'sekolah']",temu orang tua guru sabtu desember pukul aula sekolah
Futsal bareng teman kantor tiap Jumat jam 7 malam. Siapa mau ikut?,Jadwal & Kegiatan,Tidak Berisiko,futsal bareng teman kantor tiap jumat jam 7 malam. siapa mau ikut?,"['futsal', 'bareng', 'teman', 'kantor', 'tiap', 'jumat', 'jam', 'malam', 'siapa', 'mau', 'ikut']","['futsal', 'bareng', 'teman', 'kantor', 'tiap', 'jumat', 'jam', 'malam', 'siapa', 'mau', 'ikut']","['futsal', 'bareng', 'teman', 'kantor', 'tiap', 'jumat', 'jam', 'malam', 'siapa', 'mau', 'ikut']",futsal bareng teman kantor tiap jumat jam malam siapa mau ikut
Konfirmasi transaksi Danamon Rp50 juta ke rekening tidak dikenal. Tolak di tinyurl.com/bca-verify.,Phishing,Berisiko,konfirmasi transaksi danamon rp50 juta ke rekening tidak dikenal. tolak di tinyurl.com/bca-verify.,"['konfirmasi', 'transaksi', 'danamon', 'NOMINAL_UANG', 'ke', 'rekening', 'tidak', 'dikenal', 'tolak', 'di', 'URL_CURIGA']","['konfirmasi', 'transaksi', 'danamon', 'NOMINAL_UANG', 'rekening', 'dikenal', 'tolak', 'URL_CURIGA']","['konfirmasi', 'transaksi', 'danamon', 'NOMINAL_UANG', 'rekening', 'kenal', 'tolak', 'URL_CURIGA']",konfirmasi transaksi danamon NOMINAL_UANG rekening kenal tolak URL_CURIGA
ngentot sama ngentot emang,Kata Kasar & Ancaman,Berisiko,ngentot sama ngentot emang,"['ngentot', 'sama', 'ngentot', 'emang']","['ngentot', 'sama', 'ngentot', 'emang']","['ngentot', 'sama', 'ngentot', 'emang']",ngentot sama ngentot emang
"Ibu, nanti dijemput jam 5 ya. Aku lagi di jalan.",Percakapan Biasa,Tidak Berisiko,"ibu, nanti dijemput jam 5 ya. aku lagi di jalan.","['ibu', 'nanti', 'dijemput', 'jam', 'ya', 'aku', 'lagi', 'di', 'jalan']","['ibu', 'dijemput', 'jam', 'aku', 'jalan']","['ibu', 'jemput', 'jam', 'aku', 'jalan']",ibu jemput jam aku jalan
"Makasih udah temani tadi malam, seneng banget ngobrolnya.",Percakapan Biasa,Tidak Berisiko,"makasih udah temani tadi malam, seneng banget ngobrolnya.","['makasih', 'udah', 'temani', 'tadi', 'malam', 'seneng', 'banget', 'ngobrolnya']","['makasih', 'udah', 'temani', 'tadi', 'malam', 'seneng', 'banget', 'ngobrolnya']","['makasih', 'udah', 'teman', 'tadi', 'malam', 'neng', 'banget', 'ngobrolnya']",makasih udah teman tadi malam neng banget ngobrolnya
ya setan emang kelakuan lo geblek,Kata Kasar & Ancaman,Berisiko,ya setan emang kelakuan lo geblek,"['ya', 'setan', 'emang', 'kelakuan', 'lo', 'geblek']","['setan', 'emang', 'kelakuan', 'lo', 'geblek']","['setan', 'emang', 'laku', 'lo', 'geblek']",setan emang laku lo geblek
"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 0822-1111-9999.",Penipuan,Berisiko,"kredit hp tanpa kartu kredit, tanpa dp, bunga 0%. proses cepat, wa 0822-1111-9999.","['kredit', 'hp', 'tanpa', 'kartu', 'kredit', 'tanpa', 'dp', 'bunga', 'proses', 'cepat', 'wa', 'NOMOR_HP_ASING']","['kredit', 'hp', 'kartu', 'kredit', 'dp', 'bunga', 'proses', 'cepat', 'wa', 'NOMOR_HP_ASING']","['kredit', 'hp', 'kartu', 'kredit', 'dp', 'bunga', 'proses', 'cepat', 'wa', 'NOMOR_HP_ASING']",kredit hp kartu kredit dp bunga proses cepat wa NOMOR_HP_ASING
Pembayaran tagihan listrik Rp25.000 berhasil pada 10 Agustus 2024. No. referensi: TKT-99123.,Transaksi Aman,Tidak Berisiko,pembayaran tagihan listrik rp25.000 berhasil pada 10 agustus 2024. no. referensi: tkt-99123.,"['pembayaran', 'tagihan', 'listrik', 'NOMINAL_UANGberhasil', 'pada', 'agustus', 'no', 'referensi', 'tkt', 'KODE_OTP']","['pembayaran', 'tagihan', 'listrik', 'NOMINAL_UANGberhasil', 'agustus', 'no', 'referensi', 'tkt', 'KODE_OTP']","['bayar', 'tagih', 'listrik', 'nominal uangberhasil', 'agustus', 'no', 'referensi', 'tkt', 'KODE_OTP']",bayar tagih listrik nominal uangberhasil agustus no referensi tkt KODE_OTP
